Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Peter,Jakobsson,Storvägen 8,Nyköping,37924,Sverige,SE,19660821-5190,+46,0314-71 65 78,1966-08-21,True
Irene,Söderström,Kvarngatan 936,Göteborg,46402,Sverige,SE,19960216-1710,+46,08-350 763 19,1996-02-16,True
Åke,Olsson,Järnvägsstigen 261,Södertälje,34795,Sverige,SE,19890114-8533,+46,022-67 79 17,1989-01-14,True
Mari,Birkeland,Kristensenvollen 24,Christianvik,4575,Norge,NO,19720531-2052,+47,931 06 271,1972-05-31,True
Reidun,Hauge,Lundplassen 2B,Danielsen,7102,Norge,NO,20000913-4911,+47,+47 59 82 79 36,2000-09-13,True
Kurt,Olsson,Fabriksvägen 02,Sandviken,18387,Sverige,SE,19921030-9694,+46,0031-63 94 87,1992-10-30,True
Eva,Eriksson,Järnvägsgatan 44,Karlstad,94882,Sderige,SE,19660530-3800,+46,08-187 85 65,1966-05-30,True
Jan,Kristensen,Hauglandekra 139,Hegehavn,8901,Norge,NO,19920115-2582,+47,405 86 218,1992-01-15,True
Maria,Næss,Lienberget 08C,Leiffoss,8870,Norge,NO,20000322-8750,+47,487 99 634,2000-03-22,True
Annette,Lindqvist,Skoltorget 875,Kalmar,37007,Sverige,SE,19420413-0501,+46,037-24 78 55,1942-04-13,True
Thomas,Birkeland,Auneskogen 4,Mikkelsen,3038,Norge,NO,19881208-7445,+47,11576929,1988-12-08,True
Gunhild,Larsson,Industrivägen 494,Trelleborg,54620,Sverige,SE,19570715-0960,+46,08-650 49 46,1957-07-15,True
Nicholas,Rose,Michael Rapid 35771,New Sandyport,66115,Danmark,DK,19841021-5833,+45,326.850.2164x38778,1984-10-21,True
Elisabeth,Eriksson,Skogsgatan 7,Malmö,64406,Sverige,SE,19871113-8901,+46,0729-56 59 10,1987-11-13,True
Lars,Johansson,Ekstigen 09,Varberg,48399,Sverige,SE,19850520-9274,+46,+46 (0)8 668 625 32,1985-05-20,True
Jere,Leinonen,Nordenskiöldinpolku 2,Kuusamo,72672,Finland,FI,19960118-2033,+358,045 090 5160,1996-01-18,True
Therese,Eriksson,Industrigatan 7,Malmö,38160,Sverige,SE,19600325-7969,+46,075-535 56 42,1960-03-25,True
Kristine,Larsen,Eliassenskogen 4,Pedersen,4340,Norge,NO,19610629-0416,+47,01042064,1961-06-29,True
Birger,Andersson,Idrottsvägen 68,Landskrona,10594,Sverige,SE,19960804-1638,+46,08-36 27 70,1996-08-04,True
Jacob,Gardner,Emily Isle 49301,West Katherineborough,25789,Danmark,DK,19950503-2438,+45,928.936.4402,1995-05-03,True
Helén,Johansson,Grangatan 86,Uppsala,22297,Sverige,SE,19870222-9877,+46,015-726 17 84,1987-02-22,True
Ingegärd,Johansson,Fabriksvägen 5,Falun,71014,Sverige,SE,19890306-7881,+46,+46 (0)26 76 60 29,1989-03-06,True
Sofie,Andresen,Myklebustekra 831,Ivardal,9448,Norge,NO,19770707-3508,+47,46 68 76 46,1977-07-07,True
Pia,Hermansson,Åkerstigen 8,Kalmar,33574,Sverige,SE,19980725-8092,+46,08-43 76 38,1998-07-25,True
Teresa,Brown,Oconnell Cove 758,Jenkinston,11560,Danmark,DK,19550210-6484,+45,684.408.6938x37239,1955-02-10,True
Oskar,Stenberg,Idrottsgränd 6,Varberg,14234,Sverige,SE,20000420-9513,+46,08-39 59 92,2000-04-20,True
Sylvia,Johnsson,Ekgatan 48,Borås,14867,Sverige,SE,19730611-4137,+46,08-45 52 86,1973-06-11,True
Unni,Aune,Abrahamsenhagen 6E,Eide,9124,Norge,NO,19790703-0047,+47,75 73 48 63,1979-07-03,True
Fredrik,Samuelsson,Åkervägen 12,Södertälje,58441,Sverige,SE,19690624-9041,+46,+46 (0)33 43 99 39,1969-06-24,True
Robert,Gomez,Cook Brooks 7406,Port Sharon,08691,Danmark,DK,19670719-1816,+45,747.500.7883,1967-07-19,True
Johan,Ivarsson,Ängstorget 9,Trelleborg,15201,Sverige,SE,19740524-1366,+46,068-26 29 08,1974-05-24,True
Marie,Andreasson,Skoltorget 3,Lidingö,50296,Sverige,SE,19821227-5943,+46,0912-590 82,1982-12-27,True
Gustav,Pettersson,Industrigränd 4,Alingsås,49452,Sverige,SE,19750401-4794,+46,08-425 46 77,1975-04-01,True
Robert,Andersson,Skogsgränd 19,Ängelholm,71030,Sverige,SE,19820309-2175,+46,+46 (0)8 623 366 72,1982-03-09,True
Katherine,Allen,Huffman Divide 246,West Austin,30714,Danmark,DK,19660824-6469,+45,433-943-5267x8192,1966-08-24,True
Rachel,Murray,Wolfe Stravenue 03476,Lake Jenniferburgh,05600,Danmark,DK,19700518-0907,+45,(327)320-2630,1970-05-18,True
Kelly,Reyes,Lynch Prairie 809,Port Jodi,64297,Danmark,DK,19890406-2728,+45,740.857.8226x28903,1989-04-06,True
Tracie,Chavez,Peck Fords 4330,East Sharonstad,05300,Danmark,DK,19470213-0926,+45,(649)444-6891,1947-02-13,True
Abigail,Lopez,Patrick Walks 7094,South Anthony,33833,Danmark,DK,19611209-8260,+45,829-843-3961x0369,1961-12-09,True
Karl,Andersson,Backvägen 4,Landskrona,60029,Sverige,SE,19640424-2299,+46,0881-328 34,1964-04-24,True
Jørgen,Nielsen,Knutseneggen 1,Stianberg,1869,Norge,NO,19680205-2058,+47,+47 05 21 26 06,1968-02-05,True
Irene,Eriksson,Furugatan 48,Malmö,60168,Sverige,SE,19850705-2570,+46,0433-267 59,1985-07-05,True
Nancy,Davis,Shelley Canyon 85150,Burgesstown,32868,Danmark,DK,19860611-4421,+45,5342846221,1986-06-11,True
Robert,Williams,Ryan Prairie 2666,Espinozafort,10776,Danmark,DK,19821213-0199,+45,+1-330-303-9412x9112,1982-12-13,True
Michael,Brown,Jeffrey Expressway 97536,Port Timothy,00533,Danmark,DK,19600830-3841,+45,697-716-7905,1960-08-30,True
Anneli,Välimäki,Walentin Chorellin tie 7,Pomarkku,15330,Finland,FI,19440201-419A,+358,+358 462587778,1944-02-01,True
Ashley,Watson,King Parkways 257,Amandaton,14927,Danmark,DK,19760606-9422,+45,435.575.9074x53576,1976-06-06,True
Ulrika,Johansson,Gentorget 388,Luleå,20824,Sverige,SE,19810613-4856,+46,08-70 95 81,1981-06-13,True
Veikko,Forsman,Orvokkibulevardi 199,Kittilä,48100,Finland,FI,19890506-239E,+358,029 031 0699,1989-05-06,True
Eva,Jansson,Ekvägen 3,Borås,68565,Sverige,SE,19870819-2463,+46,0284-16 90 51,1987-08-19,True
Sean,Martin,Gregory Mount 022,North Morganberg,88745,Danmark,DK,19740716-3662,+45,690-845-3942x2648,1974-07-16,True
Sakari,Saarinen,Taavinkatu 04,Siikalatva,31617,Finland,FI,19440107-133U,+358,(+358) 972638667,1944-01-07,True
Ruth,Johansson,Furuvägen 1,Karlstad,47517,Sverige,SE,19481127-8105,+46,054-173 20 06,1948-11-27,True
Knut,Johansson,Gengatan 77,Landskrona,43415,Sverige,SE,19880618-6271,+46,001-832 51 07,1988-06-18,True
April,Martinez,Trevor Mills 779,Andersonside,43672,Danmark,DK,19530306-3167,+45,(218)546-4974,1953-03-06,True
Petteri,Järvinen,Tuomarinkylänkuja 51,Lieto,80035,Finland,FI,19931014-579N,+358,+358417395460,1993-10-14,True
Gerd,Karlsson,Skogsstigen 6,Karlskoga,39029,Sverige,SE,19410404-9989,+46,+46 (0)076 706 33,1941-04-04,True
Brian,White,Paige Gardens 10886,Spearsshire,60415,Danmark,DK,19950726-8204,+45,001-466-358-5231x39258,1995-07-26,True
Sindre,Martinsen,Solberggjerdet 475,Kåresund,9424,Norge,NO,19731004-6596,+47,+4712632232,1973-10-04,True
Asko,Kujala,Orisaarenkuja 8,Kuortane,76095,Finland,FI,19600725-422U,+358,+358 086004106,1960-07-25,True
Kalle,Rautiainen,Niitynperänkuja 0,Pietarsaari,30874,Finland,FI,19510526-3927,+358,+358 21 4196458,1951-05-26,True
Markus,Antonsen,Brekkealléen 99F,Knudsen,8521,Norge,NO,19890505-4477,+47,37 26 04 91,1989-05-05,True
Sven,Östlund,Gengatan 446,Motala,20967,Sverige,SE,19700409-8711,+46,+46 (0)81 76 24 64,1970-04-09,True
Anders,Samuelsson,Björkgatan 26,Sundsvall,74391,Sverige,SE,19880118-0293,+46,007-336 55 97,1988-01-18,True
George,Robbins,Christopher Hill 58804,Saraside,15327,Danmark,DK,19610717-5423,+45,956.590.4692x192,1961-07-17,True
Cecilia,Nilsson,Trädgårdsvägen 8,Gävle,98681,Sverige,SE,19500605-0124,+46,0455-416 38,1950-06-05,True
Ola,Nordström,Aspstigen 5,Ängelholm,19276,Sverige,SE,19550213-4258,+46,+46 (0)12 68 59 32,1955-02-13,True
Maren,Vik,Aasenlia 8,Kåresand,8873,Norge,NO,19580302-4229,+47,42198149,1958-03-02,True
Ingeborg,Moe,Bakkenstranda 2,Helland,8129,Norge,NO,19520615-8945,+47,477 14 916,1952-06-15,True
Valborg,Nilsson,Furustigen 5,Umeå,97832,Sverige,SE,19870530-1491,+46,0497-790 19,1987-05-30,True
Riikka,Heikkinen,Ylänkötie 935,Muurame,17126,Finland,FI,19870115-555K,+358,(+358) 260684968,1987-01-15,True
Lassi,Korpela,Jännekatu 68,Nakkila,54599,Finland,FI,19680317-200P,+358,+358 991054205,1968-03-17,True
Hellevi,Aalto,Kuhankeittäjänpolku 68,Taipalsaari,65006,Finland,FI,19570925-2246,+358,0475324880,1957-09-25,True
Marianne,Jørgensen,Hagenstubben 2,Lie,9247,Norge,NO,19630521-2446,+47,40569894,1963-05-21,True
Linnéa,Nilsson,Bäckgränd 9,Jönköping,30512,Sverige,SE,20000109-7860,+46,005-497 92 97,2000-01-09,True
Camilla,Larsen,Aaslyngen 6C,Cathrineborg,3514,Norge,NO,19840301-1594,+47,33 11 26 69,1984-03-01,True
Jennifer,Weber,Joshua Gateway 84831,Port Sarah,10323,Danmark,DK,19490716-2590,+45,(653)684-8235,1949-07-16,True
Joseph,Carroll,Gary Plaza 0474,Port Thomas,79100,Danmark,DK,19410405-0888,+45,001-460-569-6413x535,1941-04-05,True
Nils,Thorsen,Haugeberget 6,Johansen,1078,Norge,NO,19770225-6430,+47,435 39 353,1977-02-25,True
Gunilla,Claesson,Ringstigen 07,Borås,98766,Sverige,SE,19650216-8764,+46,08-17 73 09,1965-02-16,True
Elin,Larsson,Industrigatan 454,Luleå,93842,Sverige,SE,19620716-9220,+46,0827-43 75 48,1962-07-16,True
Håkan,Sundström,Skogsgatan 590,Östersund,54040,Sverige,SE,19830405-3984,+47,08-074 82 92,1983-04-05,True
Karl,Andersson,Idrottstorget 81,Kalmar,33652,Sverige,SE,19521114-7906,+46,+46 (0)43 48 45 26,1952-11-14,True
Margareta,Henriksson,Kvarnvägen 34,Varberg,92092,Sverige,SE,19421103-1429,+46,0171-98 01 26,1942-11-03,True
Ingrid,Olsson,Parkgatan 802,Skellefteå,38635,Sverige,SE,19820604-3287,+46,08-363 107 18,1982-06-04,True
Sara,Persson,Gengatan 873,Karlstad,90387,Sverige,SE,19911116-2566,+46,+46 (0)99 03 38 79,1991-11-16,True
Tone,Berge,Hanssenhavna 1,Aasen,5918,Norge,NO,19701115-4025,+47,76896971,1970-11-15,True
Erik,Eriksson,Skolvägen 9,Västerås,77041,Sverige,SE,19451209-7735,+46,0145-168 04,1945-12-09,True
Anne,Salo,Elontie 5,Pirkkala,57772,Finland,FI,19751005-422J,+358,(+358) 729578731,1975-10-05,True
Linnea,Henriksson,Trädgårdsgränd 6,Uddevalla,42440,Sverige,SE,19721211-1783,+46,0780-882 70,1972-12-11,True
Espen,Næss,Olsenberget 8,Tobiasodden,2257,Norge,NO,19841023-1315,+47,449 86 097,1984-10-23,True
Rut,Engström,Ekgatan 2,Lidköping,48758,Sverige,SE,19920817-2988,+46,0295-55 67 46,1992-08-17,True
Mirjami,Hokkanen,Castréninbulevardi 2,Orimattila,03151,Finland,FI,19480121-704E,+358,0237738540,1948-01-21,True
Roland,Blomberg,Kvarngränd 7,Östersund,82573,Sverige,SE,19761210-3997,+46,08-974 07 44,1976-12-10,True
Kåre,Bakke,Halvorsenekra 91,Andresen,9820,Norge,NO,19721230-6401,+47,69 45 31 47,1972-12-30,True
Camilla,Andersson,Strandgränd 267,Jönköping,74586,Sverige,SE,19780822-7140,+46,0266-174 57,1978-08-22,True
Jerry,West,Gray Plain 835,South Antonioville,16509,Danmark,DK,19920609-8520,+45,840-258-0942,1992-06-09,True
Dale,Johnson,Morgan Groves 274,Kington,01798,Danmark,DK,19730626-1955,+45,001-570-784-0846x8331,1973-06-26,True
Lars,Pettersen,Eriksenhavna 53,Siribø,7782,Norge,NO,19781210-2116,+47,01 96 62 37,1978-12-10,True
Birgitta,Andersson,Skogsvägen 431,Lund,11802,Sverige,SE,19910306-1346,+46,+46 (0)8 720 177 10,1991-03-06,True
Vegard,Iversen,Knudsenhaugen 942,Sigridvær,2636,Norge,NO,19990420-1881,+47,51 30 34 84,1999-04-20,True
Per,Persson,Trädgårdsgränd 5,Örebro,60346,Sverige,SE,19620702-5521,+46,0581-03 90 48,1962-07-02,True
Olav,Andersen,Moekroken 7,Ritadal,3657,Norge,NO,19431113-2811,+47,909 53 405,1943-11-13,True
Bradley,Houston,Christina Court 85735,Curtisstad,10014,Danmark,DK,19520109-6283,+45,800.257.5891x6812,1952-01-09,True
David,Jenkins,Robbins Ridges 18014,Susanville,51482,Danmark,DK,19440326-3501,+45,468-992-2367,1944-03-26,True
Else,Berg,Jensenløkka 9,Martinsen,2435,Norge,NO,19420528-5189,+47,95406857,1942-05-28,True
Linnéa,Möller,Kyrkostigen 40,Östersund,96243,Sverige,SE,19790611-1004,+46,057-19 12 47,1979-06-11,True
Lars,Gustafsson,Åkergatan 830,Motala,20228,Sverige,SE,19460828-1313,+46,08-498 02 15,1946-08-28,True
Benjamin,Webb,Tyler Forks 5670,Vincenttown,33385,Danmark,DK,19911202-4467,+45,001-798-646-4909x81511,1991-12-02,True
Irene,Ali,Berntsenekra 22,Jakobsen,3554,Norge,NO,19440907-4871,+47,73108508,1944-09-07,True
Ingemar,Danielsson,Skogsgränd 55,Luleå,63018,Sverige,SE,19910722-5334,+46,+46 (0)252 671 61,1991-07-22,True
Gerd,Andersson,Industrigatan 7,Ängelholm,24317,Sverige,SE,19920627-5901,+46,0137-00 07 77,1992-06-27,True
Terje,Myhre,Iversenberget 5,Erlingberg,0339,Norge,NO,19981019-9582,+47,47973807,1998-10-19,True
Anders,Eliasson,Nystigen 0,Gävle,42117,Sverige,SE,19510801-1658,+46,+46 (0)59 04 20 72,1951-08-01,True
Margit,Isaksson,Parktorget 2,Karlstad,28307,Sverige,SE,19521002-5268,+45,+46 (0)8 589 563 47,1952-10-02,True
Kjell,Jansson,Ängsvägen 842,Luleå,86064,Sverige,SE,19670713-5684,+46,0574-670 97,1967-07-13,True
Pentti,Kärkkäinen,Castréninbulevardi 38,Miehikkälä,18649,Finland,FI,19780924-245H,+358,(+358) 298499738,1978-09-24,True
Kristin,Dahl,Bøemyra 22B,Evamark,6582,Norge,NO,19590527-6621,+47,16490843,1959-05-27,True
Eirik,Brekke,Liehøgda 8,Martinsen,0357,Norge,NO,19430906-6107,+47,91449327,1943-09-06,True
Julie,Gulbrandsen,Aasenmyra 534,Sisselvåg,8533,Norge,NO,19740526-8725,+47,497 33 435,1974-05-26,True
Jose,Logan,Christopher Mountain 385,Evansfurt,17965,Danmark,DK,19820325-3094,+45,(518)301-7774x9614,1982-03-25,True
Marie,Larsson,Gengränd 8,Alingsås,37142,Sveribe,SE,19650801-2826,+46,+46 (0)20 35 43 43,1965-08-01,True
Rachel,Green,Erickson Passage 3083,Lake Cynthiahaven,79349,Danmark,DK,19441016-8312,+45,(941)237-6451x503,1944-10-16,True
Folke,Gustafsson,Villatorget 556,Motala,94519,Sverige,SE,19650406-3007,+46,0627-68 66 90,1965-04-06,True
Paul,Gould,Mary Mountain 4444,East Cassidyhaven,99129,Danmark,DK,19610916-7977,+45,500.682.5538x0025,1961-09-16,True
Mona,Nilsson,Skolgatan 521,Mölndal,15807,Sverige,SE,19800613-7567,+46,+46 (0)58 00 75 27,1980-06-13,True
Andrew,Cameron,Hopkins Dam 36692,South Colin,09419,Danmark,DK,19590115-9687,+45,3048268154,1959-01-15,True
Maria,Karhu,Niittyläntie 4,Myrskylä,37130,Finland,FI,19581123-074A,+358,001 393 2362,1958-11-23,True
Aaron,Stafford,Browning Trail 48214,East Wesleybury,39960,Danmark,DK,19930817-7443,+45,349-946-3522x7967,1993-08-17,True
Maj,Kristiansson,Aspstigen 48,Lidköping,92681,Sverige,SE,19450124-4311,+46,08-598 48 31,1945-01-24,True
Fredrik,Jönsson,Idrottsgränd 7,Piteå,51208,Sverige,SE,19660911-7314,+46,0484-67 87 84,1966-09-11,True
Anders,Aasen,Ødegårdskogen 2B,Eriksen,1861,Norge,NO,19860511-3944,+47,489 58 228,1986-05-11,True
Karl,Arvidsson,Björkvägen 39,Motala,96578,Sverige,SE,19441014-1820,+46,+46 (0)96 97 63 27,1944-10-14,True
Axel,Ekman,Industrigränd 91,Malmö,12036,Sverige,SE,19730420-0155,+46,0462-873 70,1973-04-20,True
Alf,Evensen,Myklebustkollen 415,Solberg,1784,Norge,NO,19720204-6568,+47,74927132,1972-02-04,True
Julie,Edvardsen,Dahlalléen 5G,Roarstad,0303,Norge,NO,19910207-1294,+47,432 16 967,1991-02-07,True
Tuula,Tamminen,Elonkuja 18,Turku,61347,Finland,FI,19460330-833D,+358,+358 94 8774448,1946-03-30,True
